Comune,Popolazione_totale,mean_km,mean_min,St.Dv_km,St.Dv_min
ACCUMOLI,490.0,5.461069387755102,8.656530612244898,4.39700369755813,7.158428918077163
ACQUAFONDATA,255.0,3.636850980392157,7.051568627450981,2.3391456417532734,4.0285210042249355
ACQUAPENDENTE,4502.0,1.7118944913371836,3.0484303272619577,6.941580098166356,8.699717812698072
ACUTO,1790.0,0.9311508379888268,3.0620484171322158,1.9158415122342451,2.8483523502388377
AFFILE,1345.0,0.3759420074349442,1.1132589838909543,4.140261706704059,5.919748805982052
AGOSTA,1588.0,2.3098649244332496,5.157026658270361,1.203307282728176,1.1871100724339232
ALATRI,16092.0,1.9109300894854584,3.7489635981992433,1.4013606555905003,1.7723121639199455
ALBANO LAZIALE,38363.0,2.855827455273745,5.711926132529318,1.3989262520698362,2.144238697054759
ALLUMIERE,3642.0,0.7456709225700165,2.5336628226249314,1.1175822676653384,1.6027753706895083
ALVITO,962.0,1.3488487525987525,2.6684771309771307,1.65934751232726,1.8824955996069908
AMASENO,2316.0,0.5429611398963731,1.7376259355210133,0.6105295856877043,1.0968483891992042
AMATRICE,2107.0,5.024868296155672,7.967208511311501,3.7402894413916203,4.475763878033885
ANAGNI,12468.0,2.8760033686236763,6.10514027020283,2.0742335631178475,2.5294124132808573
ANGUILLARA SABAZIA,17530.0,2.1394815554287887,2.8927143943715534,3.73446615956949,3.8859145913155215
ANTICOLI CORRADO,794.0,0.3,0.9666666666666668,,
ANTRODOCO,2328.0,0.7136600801832761,1.8598797250859107,3.703995815332409,4.524056639495825
AQUINO,3616.0,0.6903665191740412,1.3686332350049164,1.893132285882804,2.403988740732633
ARCE,2940.0,2.3720531746031748,4.056763038548753,1.387651597157079,1.6247500599174156
ARCINAZZO ROMANO,1179.0,2.4654147582697203,4.285072094995759,5.292694257181308,6.929646455628165
ARICCIA,17854.0,3.6232678671446177,6.430317669243118,0.6465899653824928,0.9972299597347611
ARLENA DI CASTRO,799.0,8.457,10.6,,
ARNARA,1030.0,1.2072300970873788,2.4800242718446603,0.8774165405976148,1.5598219112582272
ARPINO,3085.0,2.4974484062668822,4.128892490545651,3.0200871245993786,4.973153606125942
ARSOLI,1260.0,16.039,17.766666666666666,,
ARTENA,12905.0,1.976627353738861,3.2715799216496615,1.9832917241200205,2.4233602491415387
ASCREA,190.0,4.549178947368421,7.2494736842105265,8.653123270434401,13.802535998866295
ATINA,2671.0,2.4127023586671665,4.389635592162736,1.002942524255357,1.1918575929088684
AUSONIA,1627.0,2.333284572833436,4.241856177012908,1.0251224220779258,1.6098637146349428
BAGNOREGIO,3060.0,1.8485431372549022,3.2375163398692814,3.3001970693321594,3.8838333777788674
BARBARANO ROMANO,852.0,0.28102230046948357,0.8314749608763694,0.7120565286548532,0.9074537025227359
BASSANO IN TEVERINA,1036.0,0.205,0.4833333333333333,,
BASSANO ROMANO,3409.0,0.39902684071575234,1.2869243179818128,2.6558930701366723,5.933804405457112
BASSIANO,1146.0,3.1855218150087263,4.8798186930385885,0.6301482806098545,1.3735632223985639
BELLEGRA,2058.0,18.056472303207,25.67795189504373,1.3385673311417698,2.117851538443826
BELMONTE CASTELLO,339.0,0.9189203539823011,2.15457227138643,0.9821660586004114,2.0840243298501595
BELMONTE IN SABINA,463.0,2.6927213822894167,4.879481641468683,1.529502424537688,2.2572260508075934
BLERA,2798.0,1.243268048606147,3.312943769359066,4.702293093091214,6.431483614336702
BOLSENA,3127.0,1.3234416373520947,3.2786803112674554,1.8110235365670984,1.413910718015292
BOMARZO,1584.0,0.34725757575757576,0.5946654040404039,3.9315137033972043,5.645069136472603
BORBONA,567.0,1.1838615520282185,2.40163139329806,2.4446780053823036,4.427649865711304
BORGO VELINO,917.0,0.45910905125408935,1.2150490730643402,0.9920708140047264,1.6027753706895076
BORGOROSE,4149.0,5.733575801397926,7.4776760129616235,1.6127354354029093,1.7279180532762695
BOVILLE ERNICA,4125.0,2.93926101010101,5.425694276094277,1.345993036570901,2.027669961618761
BRACCIANO,16521.0,1.9299467142828317,5.065606399935437,2.8018627633138005,2.399817379883337
BROCCOSTELLA,1681.0,1.3955130874479473,2.4206672615506646,1.439474308806616,2.0897172032162605
CALCATA,801.0,0.463358302122347,1.5205576362879734,0.660786652407568,1.8584890318432017
CAMERATA NUOVA,397.0,0.20046851385390427,0.7293450881612091,0.7947880220536795,1.4849242404917498
CAMPAGNANO DI ROMA,8623.0,1.8631088948161894,3.732627211462883,1.624472070938512,2.276523480304695
CAMPODIMELE,387.0,1.27556330749354,2.7980620155038762,2.5632620818012346,5.3033008588991075
CAMPOLI APPENNINO,832.0,0.8518737980769231,2.197395833333333,1.2247723913912683,1.8599581835203833
CANALE MONTERANO,3134.0,1.7208166879387368,2.9920655179748987,0.12724999999999997,0.6609958466278433
CANEPINA,2755.0,0.7880462794918329,2.436473079249849,1.674075304459151,2.610402533880338
CANINO,4786.0,0.9339999999999999,2.816666666666667,,
CANTALICE,2055.0,2.3456883211678834,4.296962692619627,1.3646381072051168,2.0985841788109325
CANTALUPO IN SABINA,1345.0,0.8799843866171005,1.8408550185873604,1.7196836918456833,1.8384776310850233
CANTERANO,329.0,1.602306990881459,3.6088652482269503,0.4518412331782039,0.4949747468305834
CAPENA,9992.0,2.242573708967174,3.577170903389379,1.9767688883871173,2.153401855266348
CAPODIMONTE,1509.0,0.949085155732273,2.3604594654296442,0.47448138354769337,0.6000771555330138
CAPRANICA,5593.0,0.5770718159604267,1.0969227407274966,2.505273142497345,3.685229387414043
